sale_id,sale_date,customer_id,product_id,region_id,quantity,unit_price,discount,total_sale,product_name,category,product_price,stock_quantity,first_name,last_name,email,gender,age,loyalty_status,signup_date,customer_region,sale_region,subregion,year,quarter,month,month_name,day,day_of_week,day_name
2023-000013,2023-01-18,40,4,3,1,29.99,0.0,29.99,,,,,,,,,,,,,,,2023,1,1,January,18,3,Wednesday
2023-000014,2023-01-20,95,7,2,3,14.5,0.05,41.33,,,,,,,,,,,,,,,2023,1,1,January,20,5,Friday
2023-000015,2023-01-21,11,12,4,1,19.99,0.0,19.99,,,,,,,,,,,,,,,2023,1,1,January,21,6,Saturday
2023-000016,2023-01-22,58,3,1,1,9.99,0.0,9.99,,,,,,,,,,,,,,,2023,1,1,January,22,0,Sunday
2023-000017,2023-01-24,84,6,3,2,12.99,0.1,23.38,,,,,,,,,,,,,,,2023,1,1,January,24,2,Tuesday
2023-000018,2023-01-25,29,9,2,1,17.49,0.0,17.49,,,,,,,,,,,,,,,2023,1,1,January,25,3,Wednesday
2023-000019,2023-01-27,63,15,4,1,24.99,0.05,23.74,,,,,,,,,,,,,,,2023,1,1,January,27,5,Friday
2023-000020,2023-01-28,102,8,1,1,13.49,0.0,13.49,,,,,,,,,,,,,,,2023,1,1,January,28,6,Saturday
2023-000021,2023-01-30,47,11,3,1,21.99,0.0,21.99,,,,,,,,,,,,,,,2023,1,1,January,30,1,Monday
2023-000022,2023-02-01,36,14,2,1,34.99,0.1,31.49,,,,,,,,,,,,,,,2023,1,2,February,1,3,Wednesday
2023-000023,2023-02-02,59,5,4,2,15.99,0.05,30.38,,,,,,,,,,,,,,,2023,1,2,February,2,4,Thursday
2023-000024,2023-02-03,81,2,1,1,8.99,0.0,8.99,,,,,,,,,,,,,,,2023,1,2,February,3,5,Friday
2023-000025,2023-02-05,14,10,3,1,27.99,0.0,27.99,,,,,,,,,,,,,,,2023,1,2,February,5,0,Sunday
2023-000026,2023-02-06,99,7,2,1,14.5,0.05,13.78,,,,,,,,,,,,,,,2023,1,2,February,6,1,Monday
2023-000027,2023-02-07,52,12,1,1,19.99,0.0,19.99,,,,,,,,,,,,,,,2023,1,2,February,7,2,Tuesday
2023-000028,2023-02-09,67,3,4,1,9.99,0.0,9.99,,,,,,,,,,,,,,,2023,1,2,February,9,4,Thursday
2023-000029,2023-02-10,23,6,3,3,12.99,0.1,35.07,,,,,,,,,,,,,,,2023,1,2,February,10,5,Friday
2023-000030,2023-02-12,90,4,2,1,29.99,0.0,29.99,,,,,,,,,,,,,,,2023,1,2,February,12,0,Sunday
2023-000031,2023-02-13,18,15,1,1,24.99,0.1,22.49,,,,,,,,,,,,,,,2023,1,2,February,13,1,Monday
2023-000032,2023-02-14,71,8,3,1,13.49,0.0,13.49,,,,,,,,,,,,,,,2023,1,2,February,14,2,Tuesday
2023-000033,2023-02-16,44,11,4,2,21.99,0.05,41.78,,,,,,,,,,,,,,,2023,1,2,February,16,4,Thursday
2023-000034,2023-02-17,108,1,2,1,6.99,0.0,6.99,,,,,,,,,,,,,,,2023,1,2,February,17,5,Friday
2023-000035,2023-02-18,31,9,1,1,17.49,0.0,17.49,,,,,,,,,,,,,,,2023,1,2,February,18,6,Saturday
2023-000036,2023-02-20,83,14,3,1,34.99,0.1,31.49,,,,,,,,,,,,,,,2023,1,2,February,20,1,Monday
2023-000037,2023-02-21,26,5,2,1,15.99,0.0,15.99,,,,,,,,,,,,,,,2023,1,2,February,21,2,Tuesday
2023-000038,2023-02-23,64,3,4,1,9.99,0.0,9.99,,,,,,,,,,,,,,,2023,1,2,February,23,4,Thursday
2023-000039,2023-02-24,50,7,1,2,14.5,0.05,27.55,,,,,,,,,,,,,,,2023,1,2,February,24,5,Friday
2023-000040,2023-02-26,97,12,3,1,19.99,0.0,19.99,,,,,,,,,,,,,,,2023,1,2,February,26,0,Sunday
2023-000041,2023-02-27,21,6,2,1,12.99,0.0,12.99,,,,,,,,,,,,,,,2023,1,2,February,27,1,Monday
2023-000042,2023-03-01,75,10,4,1,27.99,0.0,27.99,,,,,,,,,,,,,,,2023,1,3,March,1,3,Wednesday
2023-000043,2023-03-02,32,2,1,1,8.99,0.0,8.99,,,,,,,,,,,,,,,2023,1,3,March,2,4,Thursday
2023-000044,2023-03-03,86,4,3,1,29.99,0.0,29.99,,,,,,,,,,,,,,,2023,1,3,March,3,5,Friday
2023-000045,2023-03-05,17,8,2,1,13.49,0.0,13.49,,,,,,,,,,,,,,,2023,1,3,March,5,0,Sunday
2023-000046,2023-03-06,60,15,1,1,24.99,0.05,23.74,,,,,,,,,,,,,,,2023,1,3,March,6,1,Monday
2023-000047,2023-03-07,41,3,4,1,9.99,0.0,9.99,,,,,,,,,,,,,,,2023,1,3,March,7,2,Tuesday
2023-000048,2023-03-09,94,7,3,3,14.5,0.1,39.15,,,,,,,,,,,,,,,2023,1,3,March,9,4,Thursday
2023-000049,2023-03-10,22,12,2,1,19.99,0.0,19.99,,,,,,,,,,,,,,,2023,1,3,March,10,5,Friday
2023-000050,2023-03-12,58,6,1,2,12.99,0.05,24.68,,,,,,,,,,,,,,,2023,1,3,March,12,0,Sunday
2023-000051,2023-04-01,34,7,2,1,14.5,0.05,13.78,,,,,,,,,,,,,,,2023,2,4,April,1,6,Saturday
2023-000052,2023-04-02,89,10,3,2,27.99,0.05,53.18,,,,,,,,,,,,,,,2023,2,4,April,2,0,Sunday
2023-000053,2023-04-03,56,3,1,1,9.99,0.0,9.99,,,,,,,,,,,,,,,2023,2,4,April,3,1,Monday
2023-000053,2023-04-03,56,12,1,1,19.99,0.0,19.99,,,,,,,,,,,,,,,2023,2,4,April,3,1,Monday
2023-000054,2023-04-05,78,4,4,1,29.99,0.1,26.99,,,,,,,,,,,,,,,2023,2,4,April,5,3,Wednesday
2023-000055,2023-04-06,22,6,2,3,12.99,0.05,37.02,,,,,,,,,,,,,,,2023,2,4,April,6,4,Thursday
2023-000056,2023-04-07,91,15,3,1,24.99,0.1,22.49,,,,,,,,,,,,,,,2023,2,4,April,7,5,Friday
2023-000057,2023-04-09,47,8,1,1,13.49,0.0,13.49,,,,,,,,,,,,,,,2023,2,4,April,9,0,Sunday
2023-000058,2023-04-10,63,11,4,2,21.99,0.05,41.78,,,,,,,,,,,,,,,2023,2,4,April,10,1,Monday
2023-000059,2023-04-11,19,2,2,1,8.99,0.0,8.99,,,,,,,,,,,,,,,2023,2,4,April,11,2,Tuesday
2023-000060,2023-04-13,104,9,3,1,17.49,0.0,17.49,,,,,,,,,,,,,,,2023,2,4,April,13,4,Thursday
2023-000061,2023-04-14,72,14,1,1,34.99,0.1,31.49,,,,,,,,,,,,,,,2023,2,4,April,14,5,Friday
2023-000062,2023-04-15,28,5,4,1,15.99,0.0,15.99,,,,,,,,,,,,,,,2023,2,4,April,15,6,Saturday
2023-000063,2023-04-17,84,7,2,3,14.5,0.1,39.15,,,,,,,,,,,,,,,2023,2,4,April,17,1,Monday
2023-000064,2023-04-18,33,3,1,1,9.99,0.0,9.99,,,,,,,,,,,,,,,2023,2,4,April,18,2,Tuesday
2023-000065,2023-04-20,59,12,3,1,19.99,0.05,18.99,,,,,,,,,,,,,,,2023,2,4,April,20,4,Thursday
2023-000066,2023-04-21,102,6,4,2,12.99,0.05,24.68,,,,,,,,,,,,,,,2023,2,4,April,21,5,Friday
2023-000067,2023-04-22,41,10,2,1,27.99,0.0,27.99,,,,,,,,,,,,,,,2023,2,4,April,22,6,Saturday
2023-000068,2023-04-24,75,1,1,1,6.99,0.0,6.99,,,,,,,,,,,,,,,2023,2,4,April,24,1,Monday
2023-000069,2023-04-25,53,4,3,1,29.99,0.0,29.99,,,,,,,,,,,,,,,2023,2,4,April,25,2,Tuesday
2023-000070,2023-04-27,66,8,2,1,13.49,0.0,13.49,,,,,,,,,,,,,,,2023,2,4,April,27,4,Thursday
2023-000071,2023-04-28,14,15,4,1,24.99,0.1,22.49,,,,,,,,,,,,,,,2023,2,4,April,28,5,Friday
2023-000072,2023-04-30,87,3,1,2,9.99,0.05,18.98,,,,,,,,,,,,,,,2023,2,4,April,30,0,Sunday
2023-000073,2023-05-01,32,7,3,1,14.5,0.05,13.78,,,,,,,,,,,,,,,2023,2,5,May,1,1,Monday
2023-000074,2023-05-02,95,12,2,1,19.99,0.0,19.99,,,,,,,,,,,,,,,2023,2,5,May,2,2,Tuesday
2023-000075,2023-05-03,48,6,1,3,12.99,0.1,35.07,,,,,,,,,,,,,,,2023,2,5,May,3,3,Wednesday
2023-000076,2023-05-05,21,10,4,1,27.99,0.0,27.99,,,,,,,,,,,,,,,2023,2,5,May,5,5,Friday
2023-000077,2023-05-06,77,2,3,1,8.99,0.0,8.99,,,,,,,,,,,,,,,2023,2,5,May,6,6,Saturday
2023-000078,2023-05-07,58,14,2,1,34.99,0.1,31.49,,,,,,,,,,,,,,,2023,2,5,May,7,0,Sunday
2023-000079,2023-05-09,36,5,1,2,15.99,0.05,30.38,,,,,,,,,,,,,,,2023,2,5,May,9,2,Tuesday
2023-000080,2023-05-10,103,3,4,1,9.99,0.0,9.99,,,,,,,,,,,,,,,2023,2,5,May,10,3,Wednesday
2023-000081,2023-05-11,44,11,2,1,21.99,0.0,21.99,,,,,,,,,,,,,,,2023,2,5,May,11,4,Thursday
2023-000082,2023-05-13,69,8,3,1,13.49,0.0,13.49,,,,,,,,,,,,,,,2023,2,5,May,13,6,Saturday
2023-000083,2023-05-14,17,4,1,1,29.99,0.05,28.49,,,,,,,,,,,,,,,2023,2,5,May,14,0,Sunday
2023-000084,2023-05-15,92,6,4,2,12.99,0.05,24.68,,,,,,,,,,,,,,,2023,2,5,May,15,1,Monday
2023-000085,2023-05-17,50,9,3,1,17.49,0.0,17.49,,,,,,,,,,,,,,,2023,2,5,May,17,3,Wednesday
2023-000086,2023-05-18,81,12,2,1,19.99,0.0,19.99,,,,,,,,,,,,,,,2023,2,5,May,18,4,Thursday
2023-000087,2023-05-19,27,7,1,3,14.5,0.1,39.15,,,,,,,,,,,,,,,2023,2,5,May,19,5,Friday
2023-000088,2023-05-21,73,3,4,1,9.99,0.0,9.99,,,,,,,,,,,,,,,2023,2,5,May,21,0,Sunday
2023-000089,2023-05-22,11,15,2,1,24.99,0.1,22.49,,,,,,,,,,,,,,,2023,2,5,May,22,1,Monday
2023-000090,2023-05-24,64,10,3,1,27.99,0.0,27.99,,,,,,,,,,,,,,,2023,2,5,May,24,3,Wednesday
2023-000091,2023-05-25,108,1,1,2,6.99,0.0,13.98,,,,,,,,,,,,,,,2023,2,5,May,25,4,Thursday
2023-000092,2023-05-27,40,8,4,1,13.49,0.0,13.49,,,,,,,,,,,,,,,2023,2,5,May,27,6,Saturday
2023-000093,2023-05-28,55,14,2,1,34.99,0.1,31.49,,,,,,,,,,,,,,,2023,2,5,May,28,0,Sunday
2023-000094,2023-05-30,29,5,3,1,15.99,0.0,15.99,,,,,,,,,,,,,,,2023,2,5,May,30,2,Tuesday
2023-000095,2023-06-01,84,7,2,2,14.5,0.05,27.55,,,,,,,,,,,,,,,2023,2,6,June,1,4,Thursday
2023-000096,2023-06-02,33,12,1,1,19.99,0.0,19.99,,,,,,,,,,,,,,,2023,2,6,June,2,5,Friday
2023-000097,2023-06-03,91,6,3,3,12.99,0.1,35.07,,,,,,,,,,,,,,,2023,2,6,June,3,6,Saturday
2023-000098,2023-06-05,47,4,4,1,29.99,0.0,29.99,,,,,,,,,,,,,,,2023,2,6,June,5,1,Monday
2023-000099,2023-06-06,63,3,2,1,9.99,0.0,9.99,,,,,,,,,,,,,,,2023,2,6,June,6,2,Tuesday
2023-000100,2023-06-07,19,10,1,1,27.99,0.05,26.59,,,,,,,,,,,,,,,2023,2,6,June,7,3,Wednesday
2023-000101,2023-06-09,72,8,3,1,13.49,0.0,13.49,,,,,,,,,,,,,,,2023,2,6,June,9,5,Friday
2023-000102,2023-06-10,28,15,4,1,24.99,0.1,22.49,,,,,,,,,,,,,,,2023,2,6,June,10,6,Saturday
2023-000103,2023-06-11,58,6,2,2,12.99,0.05,24.68,,,,,,,,,,,,,,,2023,2,6,June,11,0,Sunday
2023-000104,2023-06-13,41,9,1,1,17.49,0.0,17.49,,,,,,,,,,,,,,,2023,2,6,June,13,2,Tuesday
2023-000105,2023-06-14,75,12,3,1,19.99,0.0,19.99,,,,,,,,,,,,,,,2023,2,6,June,14,3,Wednesday
2023-000106,2023-06-15,53,7,4,3,14.5,0.1,39.15,,,,,,,,,,,,,,,2023,2,6,June,15,4,Thursday
2023-000107,2023-06-17,66,3,2,1,9.99,0.0,9.99,,,,,,,,,,,,,,,2023,2,6,June,17,6,Saturday
2023-000108,2023-06-18,14,10,1,1,27.99,0.0,27.99,,,,,,,,,,,,,,,2023,2,6,June,18,0,Sunday
2023-000109,2023-06-20,87,2,3,1,8.99,0.0,8.99,,,,,,,,,,,,,,,2023,2,6,June,20,2,Tuesday
2023-000110,2023-06-21,32,14,4,1,34.99,0.1,31.49,,,,,,,,,,,,,,,2023,2,6,June,21,3,Wednesday
2023-000111,2023-06-22,95,5,1,2,15.99,0.05,30.38,,,,,,,,,,,,,,,2023,2,6,June,22,4,Thursday
2023-000112,2023-06-24,48,11,2,1,21.99,0.0,21.99,,,,,,,,,,,,,,,2023,2,6,June,24,6,Saturday
2023-000113,2023-06-25,21,8,3,1,13.49,0.0,13.49,,,,,,,,,,,,,,,2023,2,6,June,25,0,Sunday
2023-000114,2023-06-27,77,4,1,1,29.99,0.05,28.49,,,,,,,,,,,,,,,2023,2,6,June,27,2,Tuesday
2023-000115,2023-06-28,58,6,4,1,12.99,0.0,12.99,,,,,,,,,,,,,,,2023,2,6,June,28,3,Wednesday
2023-000116,2023-06-29,36,9,2,1,17.49,0.0,17.49,,,,,,,,,,,,,,,2023,2,6,June,29,4,Thursday
2023-000117,2023-06-30,103,12,3,1,19.99,0.0,19.99,,,,,,,,,,,,,,,2023,2,6,June,30,5,Friday
2023-000118,2023-07-01,44,7,2,2,14.5,0.1,26.1,,,,,,,,,,,,,,,2023,3,7,July,1,6,Saturday
2023-000119,2023-07-02,89,12,3,1,19.99,0.05,18.99,,,,,,,,,,,,,,,2023,3,7,July,2,0,Sunday
2023-000120,2023-07-03,56,6,1,3,12.99,0.1,35.07,,,,,,,,,,,,,,,2023,3,7,July,3,1,Monday
2023-000121,2023-07-04,78,10,4,1,27.99,0.1,25.19,,,,,,,,,,,,,,,2023,3,7,July,4,2,Tuesday
2023-000122,2023-07-05,22,3,2,1,9.99,0.0,9.99,,,,,,,,,,,,,,,2023,3,7,July,5,3,Wednesday
2023-000123,2023-07-06,91,15,3,1,24.99,0.1,22.49,,,,,,,,,,,,,,,2023,3,7,July,6,4,Thursday
2023-000124,2023-07-07,47,8,1,2,13.49,0.05,25.63,,,,,,,,,,,,,,,2023,3,7,July,7,5,Friday
2023-000125,2023-07-08,63,11,4,3,21.99,0.1,59.37,,,,,,,,,,,,,,,2023,3,7,July,8,6,Saturday
2023-000126,2023-07-09,19,2,2,1,8.99,0.0,8.99,,,,,,,,,,,,,,,2023,3,7,July,9,0,Sunday
2023-000127,2023-07-10,104,9,3,1,17.49,0.0,17.49,,,,,,,,,,,,,,,2023,3,7,July,10,1,Monday
2023-000128,2023-07-11,72,14,1,1,34.99,0.1,31.49,,,,,,,,,,,,,,,2023,3,7,July,11,2,Tuesday
2023-000129,2023-07-12,28,5,4,2,15.99,0.05,30.38,,,,,,,,,,,,,,,2023,3,7,July,12,3,Wednesday
2023-000130,2023-07-13,84,7,2,3,14.5,0.1,39.15,,,,,,,,,,,,,,,2023,3,7,July,13,4,Thursday
2023-000131,2023-07-14,33,3,1,1,9.99,0.0,9.99,,,,,,,,,,,,,,,2023,3,7,July,14,5,Friday
2023-000132,2023-07-15,59,12,3,1,19.99,0.05,18.99,,,,,,,,,,,,,,,2023,3,7,July,15,6,Saturday
2023-000133,2023-07-16,102,6,4,2,12.99,0.1,23.38,,,,,,,,,,,,,,,2023,3,7,July,16,0,Sunday
2023-000134,2023-07-17,41,10,2,1,27.99,0.05,26.59,,,,,,,,,,,,,,,2023,3,7,July,17,1,Monday
2023-000135,2023-07-18,75,1,1,1,6.99,0.0,6.99,,,,,,,,,,,,,,,2023,3,7,July,18,2,Tuesday
2023-000136,2023-07-19,53,4,3,1,29.99,0.0,29.99,,,,,,,,,,,,,,,2023,3,7,July,19,3,Wednesday
2023-000137,2023-07-20,66,8,2,1,13.49,0.0,13.49,,,,,,,,,,,,,,,2023,3,7,July,20,4,Thursday
2023-000138,2023-07-21,14,15,4,1,24.99,0.1,22.49,,,,,,,,,,,,,,,2023,3,7,July,21,5,Friday
2023-000139,2023-07-22,87,3,1,2,9.99,0.05,18.98,,,,,,,,,,,,,,,2023,3,7,July,22,6,Saturday
2023-000140,2023-07-23,32,7,3,1,14.5,0.1,13.05,,,,,,,,,,,,,,,2023,3,7,July,23,0,Sunday
2023-000141,2023-07-24,95,12,2,1,19.99,0.0,19.99,,,,,,,,,,,,,,,2023,3,7,July,24,1,Monday
2023-000142,2023-07-25,48,6,1,3,12.99,0.1,35.07,,,,,,,,,,,,,,,2023,3,7,July,25,2,Tuesday
2023-000143,2023-07-26,21,10,4,1,27.99,0.05,26.59,,,,,,,,,,,,,,,2023,3,7,July,26,3,Wednesday
2023-000144,2023-07-27,77,2,3,1,8.99,0.0,8.99,,,,,,,,,,,,,,,2023,3,7,July,27,4,Thursday
2023-000145,2023-07-28,58,14,2,1,34.99,0.1,31.49,,,,,,,,,,,,,,,2023,3,7,July,28,5,Friday
2023-000146,2023-07-29,36,5,1,2,15.99,0.05,30.38,,,,,,,,,,,,,,,2023,3,7,July,29,6,Saturday
2023-000147,2023-07-30,103,3,4,1,9.99,0.0,9.99,,,,,,,,,,,,,,,2023,3,7,July,30,0,Sunday
2023-000148,2023-07-31,44,11,2,1,21.99,0.0,21.99,,,,,,,,,,,,,,,2023,3,7,July,31,1,Monday
2023-000149,2023-08-01,69,8,3,1,13.49,0.0,13.49,,,,,,,,,,,,,,,2023,3,8,August,1,2,Tuesday
2023-000150,2023-08-02,17,4,1,1,29.99,0.1,26.99,,,,,,,,,,,,,,,2023,3,8,August,2,3,Wednesday
2023-000151,2023-08-03,92,6,4,2,12.99,0.05,24.68,,,,,,,,,,,,,,,2023,3,8,August,3,4,Thursday
2023-000152,2023-08-04,50,9,3,1,17.49,0.0,17.49,,,,,,,,,,,,,,,2023,3,8,August,4,5,Friday
2023-000153,2023-08-05,81,12,2,1,19.99,0.0,19.99,,,,,,,,,,,,,,,2023,3,8,August,5,6,Saturday
2023-000154,2023-08-06,27,7,1,3,14.5,0.1,39.15,,,,,,,,,,,,,,,2023,3,8,August,6,0,Sunday
2023-000155,2023-08-07,73,3,4,1,9.99,0.0,9.99,,,,,,,,,,,,,,,2023,3,8,August,7,1,Monday
2023-000156,2023-08-08,11,15,2,1,24.99,0.1,22.49,,,,,,,,,,,,,,,2023,3,8,August,8,2,Tuesday
2023-000157,2023-08-09,64,10,3,1,27.99,0.0,27.99,,,,,,,,,,,,,,,2023,3,8,August,9,3,Wednesday
2023-000158,2023-08-10,108,1,1,2,6.99,0.0,13.98,,,,,,,,,,,,,,,2023,3,8,August,10,4,Thursday
2023-000159,2023-08-11,40,8,4,1,13.49,0.0,13.49,,,,,,,,,,,,,,,2023,3,8,August,11,5,Friday
2023-000160,2023-08-12,55,14,2,1,34.99,0.1,31.49,,,,,,,,,,,,,,,2023,3,8,August,12,6,Saturday
2023-000161,2023-08-13,29,5,3,1,15.99,0.0,15.99,,,,,,,,,,,,,,,2023,3,8,August,13,0,Sunday
2023-000162,2023-08-14,84,7,2,2,14.5,0.1,26.1,,,,,,,,,,,,,,,2023,3,8,August,14,1,Monday
2023-000163,2023-08-15,33,12,1,1,19.99,0.0,19.99,,,,,,,,,,,,,,,2023,3,8,August,15,2,Tuesday
2023-000164,2023-08-16,91,6,3,3,12.99,0.1,35.07,,,,,,,,,,,,,,,2023,3,8,August,16,3,Wednesday
2023-000165,2023-08-17,47,4,4,1,29.99,0.05,28.49,,,,,,,,,,,,,,,2023,3,8,August,17,4,Thursday
2023-000166,2023-08-18,63,3,2,1,9.99,0.0,9.99,,,,,,,,,,,,,,,2023,3,8,August,18,5,Friday
2023-000167,2023-08-19,19,10,1,1,27.99,0.05,26.59,,,,,,,,,,,,,,,2023,3,8,August,19,6,Saturday
2023-000168,2023-08-20,72,8,3,1,13.49,0.0,13.49,,,,,,,,,,,,,,,2023,3,8,August,20,0,Sunday
2023-000169,2023-08-21,28,15,4,1,24.99,0.1,22.49,,,,,,,,,,,,,,,2023,3,8,August,21,1,Monday
2023-000170,2023-08-22,58,6,2,2,12.99,0.05,24.68,,,,,,,,,,,,,,,2023,3,8,August,22,2,Tuesday
2023-000171,2023-08-23,41,9,1,1,17.49,0.0,17.49,,,,,,,,,,,,,,,2023,3,8,August,23,3,Wednesday
2023-000172,2023-08-24,75,12,3,1,19.99,0.0,19.99,,,,,,,,,,,,,,,2023,3,8,August,24,4,Thursday
2023-000173,2023-08-25,53,7,4,3,14.5,0.1,39.15,,,,,,,,,,,,,,,2023,3,8,August,25,5,Friday
2023-000174,2023-08-26,66,3,2,1,9.99,0.0,9.99,,,,,,,,,,,,,,,2023,3,8,August,26,6,Saturday
2023-000175,2023-08-27,14,10,1,1,27.99,0.0,27.99,,,,,,,,,,,,,,,2023,3,8,August,27,0,Sunday
2023-000176,2023-08-28,87,2,3,1,8.99,0.0,8.99,,,,,,,,,,,,,,,2023,3,8,August,28,1,Monday
2023-000177,2023-08-29,32,14,4,1,34.99,0.1,31.49,,,,,,,,,,,,,,,2023,3,8,August,29,2,Tuesday
2023-000178,2023-08-30,95,5,1,2,15.99,0.05,30.38,,,,,,,,,,,,,,,2023,3,8,August,30,3,Wednesday
2023-000179,2023-08-31,48,11,2,1,21.99,0.0,21.99,,,,,,,,,,,,,,,2023,3,8,August,31,4,Thursday
2023-000180,2023-09-01,21,8,3,1,13.49,0.0,13.49,,,,,,,,,,,,,,,2023,3,9,September,1,5,Friday
2023-000181,2023-09-02,77,4,1,1,29.99,0.05,28.49,,,,,,,,,,,,,,,2023,3,9,September,2,6,Saturday
2023-000182,2023-09-03,58,6,4,1,12.99,0.0,12.99,,,,,,,,,,,,,,,2023,3,9,September,3,0,Sunday
2023-000183,2023-09-04,36,9,2,1,17.49,0.0,17.49,,,,,,,,,,,,,,,2023,3,9,September,4,1,Monday
2023-000184,2023-09-05,103,12,3,1,19.99,0.0,19.99,,,,,,,,,,,,,,,2023,3,9,September,5,2,Tuesday
2023-000185,2023-09-06,44,7,2,2,14.5,0.05,27.55,,,,,,,,,,,,,,,2023,3,9,September,6,3,Wednesday
2023-000186,2023-09-07,89,10,3,1,27.99,0.0,27.99,,,,,,,,,,,,,,,2023,3,9,September,7,4,Thursday
2023-000187,2023-09-08,56,3,1,1,9.99,0.0,9.99,,,,,,,,,,,,,,,2023,3,9,September,8,5,Friday
2023-000188,2023-09-09,78,12,4,1,19.99,0.1,17.99,,,,,,,,,,,,,,,2023,3,9,September,9,6,Saturday
2023-000189,2023-09-10,22,6,2,3,12.99,0.1,35.07,,,,,,,,,,,,,,,2023,3,9,September,10,0,Sunday
2023-000190,2023-09-11,91,15,3,1,24.99,0.05,23.74,,,,,,,,,,,,,,,2023,3,9,September,11,1,Monday
2023-000191,2023-09-12,47,8,1,2,13.49,0.0,26.98,,,,,,,,,,,,,,,2023,3,9,September,12,2,Tuesday
2023-000192,2023-09-13,63,11,4,1,21.99,0.0,21.99,,,,,,,,,,,,,,,2023,3,9,September,13,3,Wednesday
2023-000193,2023-09-14,19,2,2,1,8.99,0.0,8.99,,,,,,,,,,,,,,,2023,3,9,September,14,4,Thursday
2023-000194,2023-09-15,104,9,3,1,17.49,0.0,17.49,,,,,,,,,,,,,,,2023,3,9,September,15,5,Friday
2023-000195,2023-09-16,72,14,1,1,34.99,0.1,31.49,,,,,,,,,,,,,,,2023,3,9,September,16,6,Saturday
2023-000196,2023-09-17,28,5,4,2,15.99,0.05,30.38,,,,,,,,,,,,,,,2023,3,9,September,17,0,Sunday
2023-000197,2023-09-18,84,7,2,3,14.5,0.1,39.15,,,,,,,,,,,,,,,2023,3,9,September,18,1,Monday
2023-000198,2023-09-19,33,3,1,1,9.99,0.0,9.99,,,,,,,,,,,,,,,2023,3,9,September,19,2,Tuesday
2023-000199,2023-09-20,59,12,3,1,19.99,0.05,18.99,,,,,,,,,,,,,,,2023,3,9,September,20,3,Wednesday
2023-000200,2023-09-21,102,6,4,2,12.99,0.05,24.68,,,,,,,,,,,,,,,2023,3,9,September,21,4,Thursday
2023-000201,2023-09-22,41,10,2,1,27.99,0.0,27.99,,,,,,,,,,,,,,,2023,3,9,September,22,5,Friday
2023-000202,2023-09-23,75,1,1,1,6.99,0.0,6.99,,,,,,,,,,,,,,,2023,3,9,September,23,6,Saturday
2023-000203,2023-09-24,53,4,3,1,29.99,0.0,29.99,,,,,,,,,,,,,,,2023,3,9,September,24,0,Sunday
2023-000204,2023-09-25,66,8,2,1,13.49,0.0,13.49,,,,,,,,,,,,,,,2023,3,9,September,25,1,Monday
2023-000205,2023-09-26,14,15,4,1,24.99,0.1,22.49,,,,,,,,,,,,,,,2023,3,9,September,26,2,Tuesday
2023-000206,2023-09-27,87,3,1,2,9.99,0.05,18.98,,,,,,,,,,,,,,,2023,3,9,September,27,3,Wednesday
2023-000207,2023-09-28,32,7,3,1,14.5,0.05,13.78,,,,,,,,,,,,,,,2023,3,9,September,28,4,Thursday
